Tissue,CT,Gene
Blood vessel,Modulated smooth muscle cell,"Eln,Igfbp2,Fn1,Mgp,Tnfrsf11b,Nupr1"
Blood vessel,Monocyte,"Ly6c2,Fcgr3,Cd14,Csf1r,Kdr"
Blood vessel,Neutrophil,"Ly6g,Ly6g,Ly6c2,Fcgr3,Cxcr2,Lcn2"
Blood vessel,Pericardial cell,"Upk3b,Igfbp6,Myl7,Msln,Igfbp5"
Blood vessel,Smooth muscle cell,"Myh11,Srf,Myh11,Cnn1,Tpm2,Acta2,Myl9,Tagln,Acta2,Cnn1,Speg,Myl9,Trpv4,Alpl,Acta2,Tagln,Myh11,Sox9,Acta2,Pparg,Tagln,Myh11,Fabp4,Lpl,Myh11,Cnn1"
Blood vessel,Stem cell,"Lgr5,Pou5f1,Ly6a,Ly6a,Ly6a"
Blood vessel,T cell,"Cd3e,Ly6c2,Itk,Cd3d,Cd3g,Cd4,Cd3e,Cd8a"
Bone,Bone cell,"Alpl,Runx2,Col1a1,Col2a1,Col10a1,Col1a1"
Bone,Chondrocyte,"Sox9,Col2a1,Axin2,Scrg1,Acan,Sox6,Acan,Sox5,Sox9,Col2a1"
Bone,Dendritic cell,"Batf3,Ifi205,Mycl,Slamf7,Siglech"
Bone,Distal Proliferative Progenitor cell,"H1f3,Jag1,Msx1,Hoxd13,Tbx3,Tbx2"
Bone,Embryonic stem cell,"Lhx3,Isl1,Isl2,Alcam,Mnx1,Foxp1"
Bone,Endothelial cell,"Cdh5,Pecam1,Egfl7,Pecam1,Cd93,Eng,Cdh5,Pecam1,Cdh5,Emcn"
Bone,Eosinophil,"Il15,Epx,Il4,Mpo,Prg3,Prg2"
Bone,Fibroblast,"Thy1,Fap,Pdpn,Vim,Prrx1,Msx1"
Bone,Granulocyte,"S100a8,Chd7,Prkcb,Trem3,Tanc1,Lyz1,Camp,Cebpe,Gfi1,Far2,Tmem53"
Bone,Hematopoietic stem cell,"Hlf,Meis1,Satb1,Ikzf2,Btg2,Sox4,Cavin1,Egr1,Mpl,Pigr,Ctla2a,Pbx1,Fosb,Gvin-ps2,Gata2,Tsc22d1,Mecom,Hoxb5"
Bone,Hematopoietic stem cell progenitor cell,"Csf1,Gata1,Egr1,Gfi1b,Ikzf2,Gata2,Jun,Alox5,Fos"
Bone,Macrophage,"Adgre1,Adgre1,Top2a,C1qa,Lyz2,Csf1r,Csf1r"
Bone,Mesenchymal stromal cell,"Cdh2,Pdgfrb,Thy1,Eng,Itgav,Nes,Nt5e,Spp1,Hey1,Itgb1,Ly6a,Vim"
Bone,Monocyte,"Irf8,Slpi,Cybb,Ctss,Ly6a,Lyz2,Csf1r"
